domain,protein,layer_num,head,status,homo_sister,source
DYRK1B_4apes,DYRK1B,10,1,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head1_tree.nwk
DYRK1B_4apes,DYRK1B,10,10,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head10_tree.nwk
DYRK1B_4apes,DYRK1B,10,11,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head11_tree.nwk
DYRK1B_4apes,DYRK1B,10,12,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head12_tree.nwk
DYRK1B_4apes,DYRK1B,10,13,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head13_tree.nwk
DYRK1B_4apes,DYRK1B,10,14,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head14_tree.nwk
DYRK1B_4apes,DYRK1B,10,15,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head15_tree.nwk
DYRK1B_4apes,DYRK1B,10,16,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head16_tree.nwk
DYRK1B_4apes,DYRK1B,10,17,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head17_tree.nwk
DYRK1B_4apes,DYRK1B,10,18,correct,Pan_troglodytes,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/DYRK1B_4apes/DYRK1B_4apes/layer10/DYRK1B_4apes_layer10_head18_tree.nwk
